Métamodèle 1	Élément 1	Description Élément 1	Métamodèle 2	Élément 2	Description Élément 2	Correspondance
Scrum	Product Backlog	A prioritized list of work for the team	PRINCE2	Product Description	A detailed description of a product	1
Scrum	Product Backlog	A prioritized list of work for the team	PRINCE2	Stage Plan	A detailed plan for a specific stage	0
Scrum	Product Backlog	A prioritized list of work for the team	PRINCE2	Work Packages	A group of related tasks	0
Scrum	Product Backlog	A prioritized list of work for the team	PRINCE2	Checkpoint Report	A report of the progress at a checkpoint	0
Scrum	Product Backlog	A prioritized list of work for the team	PRINCE2	End Stage Report	A report summarizing the end of a stage	0
Scrum	Sprint	A time-boxed iteration of work	PRINCE2	Product Description	A detailed description of a product	0
Scrum	Sprint	A time-boxed iteration of work	PRINCE2	Stage Plan	A detailed plan for a specific stage	1
Scrum	Sprint	A time-boxed iteration of work	PRINCE2	Work Packages	A group of related tasks	0
Scrum	Sprint	A time-boxed iteration of work	PRINCE2	Checkpoint Report	A report of the progress at a checkpoint	0
Scrum	Sprint	A time-boxed iteration of work	PRINCE2	End Stage Report	A report summarizing the end of a stage	0
Scrum	User Stories	Short, simple descriptions of a feature	PRINCE2	Product Description	A detailed description of a product	0
Scrum	User Stories	Short, simple descriptions of a feature	PRINCE2	Stage Plan	A detailed plan for a specific stage	0
Scrum	User Stories	Short, simple descriptions of a feature	PRINCE2	Work Packages	A group of related tasks	1
Scrum	User Stories	Short, simple descriptions of a feature	PRINCE2	Checkpoint Report	A report of the progress at a checkpoint	0
Scrum	User Stories	Short, simple descriptions of a feature	PRINCE2	End Stage Report	A report summarizing the end of a stage	0
Scrum	Sprint Review	A meeting to review the sprint work	PRINCE2	Product Description	A detailed description of a product	0
Scrum	Sprint Review	A meeting to review the sprint work	PRINCE2	Stage Plan	A detailed plan for a specific stage	0
Scrum	Sprint Review	A meeting to review the sprint work	PRINCE2	Work Packages	A group of related tasks	0
Scrum	Sprint Review	A meeting to review the sprint work	PRINCE2	Checkpoint Report	A report of the progress at a checkpoint	1
Scrum	Sprint Review	A meeting to review the sprint work	PRINCE2	End Stage Report	A report summarizing the end of a stage	0
Scrum	Sprint Retrospective	A meeting to reflect on the sprint	PRINCE2	Product Description	A detailed description of a product	0
Scrum	Sprint Retrospective	A meeting to reflect on the sprint	PRINCE2	Stage Plan	A detailed plan for a specific stage	0
Scrum	Sprint Retrospective	A meeting to reflect on the sprint	PRINCE2	Work Packages	A group of related tasks	0
Scrum	Sprint Retrospective	A meeting to reflect on the sprint	PRINCE2	Checkpoint Report	A report of the progress at a checkpoint	0
Scrum	Sprint Retrospective	A meeting to reflect on the sprint	PRINCE2	End Stage Report	A report summarizing the end of a stage	1
UML Class Diagram	Class	Represents a blueprint for objects	ERD	Entity	Represents a table in a database	1
UML Class Diagram	Class	Represents a blueprint for objects	ERD	Attribute	Defines a column in a table	0
UML Class Diagram	Class	Represents a blueprint for objects	ERD	Relationship	Defines a relationship between entities	0
UML Class Diagram	Class	Represents a blueprint for objects	ERD	Cardinality	Defines the number of instances in a relationship	0
UML Class Diagram	Attribute	Defines a property of a class	ERD	Entity	Represents a table in a database	0
UML Class Diagram	Attribute	Defines a property of a class	ERD	Attribute	Defines a column in a table	1
UML Class Diagram	Attribute	Defines a property of a class	ERD	Relationship	Defines a relationship between entities	0
UML Class Diagram	Attribute	Defines a property of a class	ERD	Cardinality	Defines the number of instances in a relationship	0
UML Class Diagram	Method	Defines a behavior of a class	ERD	Entity	Represents a table in a database	0
UML Class Diagram	Method	Defines a behavior of a class	ERD	Attribute	Defines a column in a table	0
UML Class Diagram	Method	Defines a behavior of a class	ERD	Relationship	Defines a relationship between entities	1
UML Class Diagram	Method	Defines a behavior of a class	ERD	Cardinality	Defines the number of instances in a relationship	0
UML Class Diagram	Association	Defines a relationship between classes	ERD	Entity	Represents a table in a database	0
UML Class Diagram	Association	Defines a relationship between classes	ERD	Attribute	Defines a column in a table	0
UML Class Diagram	Association	Defines a relationship between classes	ERD	Relationship	Defines a relationship between entities	1
UML Class Diagram	Association	Defines a relationship between classes	ERD	Cardinality	Defines the number of instances in a relationship	0
UML Class Diagram	Multiplicity	Defines how many instances can be related	ERD	Entity	Represents a table in a database	0
UML Class Diagram	Multiplicity	Defines how many instances can be related	ERD	Attribute	Defines a column in a table	0
UML Class Diagram	Multiplicity	Defines how many instances can be related	ERD	Relationship	Defines a relationship between entities	0
